time,BTC,ETH,BNB,SOL,ADA,DOT,BUSD
0,14:08:44,23430.08,1609.4,,317.47,24.34,0.3906,6.586
0,14:08:47,23428.53,1609.41,,317.55,24.34,0.3906,6.586
0,14:08:49,23428.53,1609.41,,317.47,24.34,0.3906,6.586
0,14:08:51,23428.11,1609.41,,317.55,24.34,0.3906,6.586
0,14:08:53,23430.08,1609.39,,317.47,24.34,0.3906,6.586
0,14:08:56,23428.68,1609.39,,317.55,24.35,0.3906,6.586
0,14:08:58,23428.11,1609.39,,317.55,24.35,0.3906,6.586
0,14:09:02,23428.11,1609.39,,317.48,24.35,0.3907,6.585
0,14:09:04,23430.03,1609.27,,317.53,24.35,0.3907,6.585
0,14:09:07,23430.03,1609.31,,317.48,24.35,0.3907,6.585
0,14:09:09,23428.8,1609.27,,317.53,24.35,0.3907,6.585
0,14:09:11,23430.03,1608.87,,317.53,24.35,0.3905,6.585
0,14:09:14,23428.13,1609.17,,317.53,24.35,0.3907,6.585
0,14:09:16,23427.94,1609.1,,317.52,24.35,0.3907,6.585
0,14:09:18,23428.87,1608.87,,317.52,24.34,0.3905,6.585
0,14:09:20,23426.61,1608.87,,317.52,24.33,0.3905,6.585
0,14:09:23,23425.91,1608.78,,317.52,24.34,0.3905,6.585
0,14:09:25,23425.95,1608.78,,317.52,24.33,0.3905,6.585
0,14:09:27,23423.61,1608.78,,317.52,24.33,0.3905,6.585
0,14:09:29,23425.96,1608.75,,317.52,24.35,0.3905,6.585
0,14:09:32,23424.68,1608.74,,317.52,24.35,0.3905,6.585
0,14:09:34,23426.34,1608.84,,317.52,24.35,0.3908,6.585
0,14:09:36,23423.95,1608.91,,317.52,24.35,0.3908,6.585
0,14:09:39,23426.33,1609.32,,317.52,24.35,0.3908,6.585
0,14:09:41,23426.25,1608.91,,317.52,24.35,0.3908,6.585
0,14:09:43,23426.83,1609.33,,317.52,24.35,0.3908,6.585
0,14:09:45,23426.83,1608.91,,317.52,24.35,0.3908,6.585
0,14:09:48,23426.83,1609.28,,317.52,24.35,0.3908,6.585
0,14:09:50,23424.05,1609.33,,317.52,24.35,0.3908,6.587
0,14:09:52,23423.96,1609.33,,317.53,24.35,0.3908,6.587
0,14:09:55,23423.96,1609.19,,317.53,24.35,0.3909,6.587
0,14:09:57,23424.2,1608.93,,317.52,24.35,0.3908,6.587
0,14:09:59,23422.88,1609.32,,317.51,24.35,0.3909,6.587
0,14:10:02,23422.88,1608.93,,317.51,24.35,0.3909,6.587
0,14:10:04,23422.41,1608.93,,317.52,24.34,0.3909,6.587
0,14:10:06,23422.54,1608.79,,317.52,24.35,0.3909,6.587
0,14:10:08,23422.35,1608.79,,317.51,24.34,0.3909,6.587
0,14:10:11,23422.42,1608.93,,317.36,24.34,0.3909,6.587
0,14:10:13,23422.97,1608.87,,317.36,24.34,0.3909,6.587
0,14:10:15,23422.42,1608.87,,317.36,24.34,0.3909,6.587
0,14:10:18,23422.55,1608.84,,317.35,24.34,0.3909,6.587
0,14:10:20,23422.8,1608.84,,317.36,24.34,0.3909,6.587
0,14:10:22,23422.67,1608.84,,317.36,24.34,0.3909,6.587
0,14:10:25,23422.59,1608.84,,317.36,24.34,0.3909,6.585
0,14:10:27,23422.59,1608.84,,317.36,24.34,0.3909,6.587
0,14:10:30,23422.59,1608.83,,317.32,24.34,0.3909,6.585
0,14:10:32,23422.5,1608.83,,317.32,24.34,0.3909,6.585
0,14:10:34,23422.47,1608.84,,317.32,24.34,0.3909,6.585
0,14:10:37,23422.81,1608.83,,317.32,24.34,0.3909,6.585
0,14:10:39,23422.47,1608.8,,317.33,24.34,0.3909,6.585
0,14:10:41,23422.77,1608.8,,317.33,24.36,0.3909,6.585
0,14:10:43,23422.77,1608.8,,317.32,24.36,0.3909,6.585
0,14:10:46,23422.77,1608.8,,317.33,24.34,0.3909,6.585
0,14:10:48,23422.85,1608.8,,317.32,24.36,0.3909,6.585
0,14:10:50,23422.85,1608.8,,317.32,24.36,0.3909,6.585
0,14:10:53,23422.73,1608.79,,317.33,24.36,0.3909,6.585
0,14:10:55,23421.86,1608.79,,317.33,24.36,0.3909,6.585
0,14:10:57,23422.85,1608.79,,317.33,24.36,0.3909,6.585
0,14:11:00,23422.85,1608.79,,317.33,24.36,0.3909,6.584
0,14:11:02,23422.85,1608.93,,317.33,24.36,0.3909,6.584
0,14:11:04,23421.58,1608.93,,317.33,24.34,0.3909,6.584
0,14:11:06,23421.55,1608.93,,317.33,24.36,0.3909,6.584
0,14:11:09,23421.58,1608.82,,317.33,24.34,0.3909,6.584
